stock_code,mae_tree,wape_tree,mae_baseline,wape_baseline,baseline,tree_model,mae_gap
84077,887.1309026326439,0.5939945782608932,686.75,0.45982591228657516,previous_week,forest_small,200.38090263264394
21980,280.3888272804603,3.3035502477815646,91.30810546875,1.0757950570692194,trailing_4_week,forest_small,189.0807218117103
21975,198.31903803371267,1.4410102672749332,42.375,0.3079019073569482,previous_week,forest_small,155.94403803371267
17003,475.077065060506,1.2307695986023472,336.0,0.8704663212435233,previous_week,forest_small,139.07706506050602
21213,220.10825691727865,0.9554346474976827,105.375,0.45740640260444926,previous_week,forest_small,114.73325691727865
84568,242.22788244462322,1.685063530049553,128.75,0.8956521739130435,previous_week,forest_small,113.47788244462322
84568,242.22788244462322,1.685063530049553,131.02685546875,0.9114911684782608,trailing_4_week,forest_small,111.20102697587322
84879,351.1079514188825,0.3504071371445933,269.5,0.2689620758483034,previous_week,forest_small,81.60795141888252
21975,198.31903803371267,1.4410102672749332,125.3232421875,0.9106139305177112,trailing_4_week,forest_small,72.99579584621267
71459,176.67547791130127,1.2008528660071454,108.875,0.740016992353441,previous_week,forest_small,67.80047791130127
15036,161.96840806693433,1.0861251169618396,100.0478515625,0.6708992560771165,trailing_4_week,forest_small,61.92055650443433
22197,1162.3801788639278,0.48326792593864576,1107.1484375,0.46030493191975885,trailing_4_week,forest_small,55.23174136392777
84755,163.116770263225,0.9767471273247006,115.224609375,0.6899677208083832,trailing_4_week,forest_small,47.89216088822499
21213,220.10825691727865,0.9554346474976827,176.38720703125,0.7656525535811177,trailing_4_week,forest_small,43.72104988602865
21980,280.3888272804603,3.3035502477815646,241.125,2.8409425625920472,previous_week,forest_small,39.263827280460305
84992,146.34781909624405,0.7253919162143447,108.0,0.5353159851301115,previous_week,forest_small,38.34781909624405
71459,176.67547791130127,1.2008528660071454,141.20849609375,0.9597858697960917,trailing_4_week,forest_small,35.46698181755127
20725,128.52005653395014,0.3255732907763145,97.5,0.24699176694110198,previous_week,forest_small,31.02005653395014
84992,146.34781909624405,0.7253919162143447,116.203125,0.5759758364312267,trailing_4_week,forest_small,30.144694096244052
84970S,108.66787891438972,0.8185904249671542,78.75,0.5932203389830508,previous_week,forest_small,29.917878914389718
84879,351.1079514188825,0.3504071371445933,321.34765625,0.32070624376247503,trailing_4_week,forest_small,29.76029516888252
84970S,108.66787891438972,0.8185904249671542,83.67919921875,0.6303517831920904,trailing_4_week,forest_small,24.988679695639718
20725,128.52005653395014,0.3255732907763145,104.3056640625,0.26423220788473717,trailing_4_week,forest_small,24.21439247145014
22492,438.7705154141009,0.6142019463364492,416.953125,0.5836614173228346,trailing_4_week,forest_small,21.817390414100885
84946,240.11387438189436,0.38790609754748684,219.5,0.3546042003231018,previous_week,forest_small,20.613874381894362
21080,87.87075971327836,0.4382581531834332,68.8740234375,0.343511338840399,trailing_4_week,forest_small,18.99673627577836
21977,312.32246729338425,1.2555677077120975,297.751953125,1.1969927763819095,trailing_4_week,forest_small,14.57051416838425
22616,320.25854601570785,0.6302751213101262,309.21337890625,0.6085380150676507,trailing_4_week,forest_small,11.04516710945785
21982,198.2689657138651,1.26185499261012,187.970703125,1.1963131463802705,trailing_4_week,forest_small,10.2982625888651
84755,163.116770263225,0.9767471273247006,154.0,0.9221556886227545,previous_week,forest_small,9.116770263224993
84946,240.11387438189436,0.38790609754748684,234.1357421875,0.3782483718699515,trailing_4_week,forest_small,5.978132194394362
21080,87.87075971327836,0.4382581531834332,84.25,0.42019950124688277,previous_week,forest_small,3.6207597132783604
85123A,364.13398734334453,0.44305276026566637,361.09765625,0.43935836501901143,trailing_4_week,forest_small,3.036331093344529
21232,173.41198165678531,0.5083531891734271,171.18359375,0.5018207218761451,trailing_4_week,forest_small,2.228387906785315
